pcak,k,mode,opa,q,nms,nsel,prec,rec,nvis
12,5,l1,0.70,0.40,0.7,6151,0.5092,0.6131,3365
12,5,l1,0.70,0.55,off,5901,0.5265,0.5735,3250
12,5,l1,0.70,0.55,0.9,5505,0.5198,0.5648,3015
12,5,l1,0.70,0.55,0.7,4775,0.5079,0.5491,2616
12,5,l1,0.70,0.65,off,4590,0.5251,0.5191,2535
12,5,l1,0.70,0.65,0.9,4321,0.5186,0.5113,2374
12,5,l1,0.70,0.65,0.7,3828,0.5057,0.4980,2102
12,5,l1,0.70,0.75,off,3279,0.5285,0.4462,1820
12,5,l1,0.70,0.75,0.9,3133,0.5238,0.4416,1733
12,5,l1,0.70,0.75,0.7,2844,0.5144,0.4316,1570
12,5,l1,0.80,0.25,off,7674,0.5483,0.6350,4176
12,5,l1,0.80,0.25,0.9,7075,0.5425,0.6282,3837
12,5,l1,0.80,0.25,0.7,6026,0.5299,0.6097,3262
12,5,l1,0.80,0.40,off,6140,0.5437,0.5830,3373
12,5,l1,0.80,0.40,0.9,5723,0.5393,0.5757,3129
12,5,l1,0.80,0.40,0.7,4918,0.5278,0.5587,2688
12,5,l1,0.80,0.55,off,4605,0.5388,0.5121,2538
12,5,l1,0.80,0.55,0.9,4328,0.5320,0.5053,2375
12,5,l1,0.80,0.55,0.7,3809,0.5215,0.4930,2100
12,5,l1,0.80,0.65,off,3582,0.5394,0.4598,1995
12,5,l1,0.80,0.65,0.9,3393,0.5324,0.4541,1882
12,5,l1,0.80,0.65,0.7,3045,0.5208,0.4426,1689
12,5,l1,0.80,0.75,off,2558,0.5377,0.3842,1430
12,5,l1,0.80,0.75,0.9,2458,0.5317,0.3811,1370
12,5,l1,0.80,0.75,0.7,2261,0.5219,0.3722,1259
12,6,crease,0.10,0.25,off,42663,0.4144,0.9472,23779
12,6,crease,0.10,0.25,0.9,31747,0.4141,0.9326,17693
12,6,crease,0.10,0.25,0.7,19180,0.4074,0.8914,10671
12,6,crease,0.10,0.40,off,34130,0.4378,0.9076,19164
12,6,crease,0.10,0.40,0.9,26433,0.4365,0.8913,14796
12,6,crease,0.10,0.40,0.7,16640,0.4334,0.8532,9294
12,6,crease,0.10,0.55,off,25598,0.4456,0.8571,14408
12,6,crease,0.10,0.55,0.9,20760,0.4442,0.8383,11653
12,6,crease,0.10,0.55,0.7,13956,0.4423,0.8037,7836
12,6,crease,0.10,0.65,off,19910,0.4480,0.8072,11257
12,6,crease,0.10,0.65,0.9,16626,0.4471,0.7871,9386
12,6,crease,0.10,0.65,0.7,11798,0.4470,0.7564,6659
12,6,crease,0.10,0.75,off,14221,0.4469,0.7399,8045
12,6,crease,0.10,0.75,0.9,12329,0.4465,0.7209,6976
12,6,crease,0.10,0.75,0.7,9343,0.4477,0.6954,5286
12,6,crease,0.30,0.25,off,23979,0.4573,0.8915,13165
12,6,crease,0.30,0.25,0.9,19809,0.4513,0.8741,10890
12,6,crease,0.30,0.25,0.7,13988,0.4392,0.8412,7698
12,6,crease,0.30,0.40,off,19184,0.4703,0.8441,10583
12,6,crease,0.30,0.40,0.9,16301,0.4658,0.8300,8980
12,6,crease,0.30,0.40,0.7,11885,0.4566,0.7985,6543
12,6,crease,0.30,0.55,off,14388,0.4748,0.7877,7953
12,6,crease,0.30,0.55,0.9,12596,0.4714,0.7722,6960
12,6,crease,0.30,0.55,0.7,9598,0.4647,0.7430,5310
12,6,crease,0.30,0.65,off,11191,0.4764,0.7358,6209
12,6,crease,0.30,0.65,0.9,10003,0.4728,0.7199,5557
12,6,crease,0.30,0.65,0.7,7914,0.4700,0.6914,4404
12,6,crease,0.30,0.75,off,7993,0.4720,0.6529,4420
12,6,crease,0.30,0.75,0.9,7318,0.4706,0.6404,4054
12,6,crease,0.30,0.75,0.7,6063,0.4684,0.6203,3375
12,6,crease,0.50,0.25,off,15342,0.4954,0.8039,8384
12,6,crease,0.50,0.25,0.9,13319,0.4895,0.7911,7281
12,6,crease,0.50,0.25,0.7,10173,0.4737,0.7577,5563
12,6,crease,0.50,0.40,off,12273,0.4971,0.7555,6723
12,6,crease,0.50,0.40,0.9,10904,0.4927,0.7441,5981
12,6,crease,0.50,0.40,0.7,8561,0.4789,0.7126,4696
12,6,crease,0.50,0.55,off,9205,0.4992,0.6895,5066
12,6,crease,0.50,0.55,0.9,8341,0.4966,0.6766,4594
12,6,crease,0.50,0.55,0.7,6791,0.4867,0.6498,3748
12,6,crease,0.50,0.65,off,7160,0.5021,0.6298,3966
12,6,crease,0.50,0.65,0.9,6606,0.4981,0.6180,3661
12,6,crease,0.50,0.65,0.7,5528,0.4905,0.5927,3071
12,6,crease,0.50,0.75,off,5114,0.4975,0.5481,2836
