scene,view,control,channel,grid,components,ink_pixels,long_component_ink_fraction
chair,53,no_ids,E_layer,90_60,118,1705,0.5155425219941349
chair,53,no_ids,E_shape_ridge,95_70,372,9914,0.8161186201331451
chair,53,no_ids,E_shape_ridge,90_60,505,16729,0.8293382748520534
chair,53,no_ids,E_shape_valley,95_70,92,14030,0.9788310762651461
chair,53,no_ids,E_shape_valley,90_60,185,22598,0.9687140454907514
chair,53,rgb_canny,E_occ,95_70,362,14945,0.8368685178989629
chair,53,rgb_canny,E_occ,90_60,362,14945,0.8368685178989629
chair,53,rgb_canny,E_layer,95_70,362,14945,0.8368685178989629
chair,53,rgb_canny,E_layer,90_60,362,14945,0.8368685178989629
chair,53,rgb_canny,E_shape_ridge,95_70,362,14945,0.8368685178989629
chair,53,rgb_canny,E_shape_ridge,90_60,362,14945,0.8368685178989629
chair,53,rgb_canny,E_shape_valley,95_70,362,14945,0.8368685178989629
chair,53,rgb_canny,E_shape_valley,90_60,362,14945,0.8368685178989629
chair,53,shuffled_depths,E_occ,95_70,1769,6637,0.010245592888353172
chair,53,shuffled_depths,E_occ,90_60,2497,13803,0.1556907918568427
chair,53,shuffled_depths,E_layer,95_70,63,82,0.0
chair,53,shuffled_depths,E_layer,90_60,118,150,0.0
chair,53,shuffled_depths,E_shape_ridge,95_70,1735,7606,0.08992900341835393
chair,53,shuffled_depths,E_shape_ridge,90_60,2333,13611,0.28058188230108
chair,53,shuffled_depths,E_shape_valley,95_70,1954,5513,0.04063123526210775
chair,53,shuffled_depths,E_shape_valley,90_60,2958,10201,0.08097245368101166
chair,53,shuffled_ids,E_occ,95_70,527,6638,0.4456161494426032
chair,53,shuffled_ids,E_occ,90_60,540,13085,0.707756973633932
chair,53,shuffled_ids,E_layer,95_70,91,726,0.11570247933884298
chair,53,shuffled_ids,E_layer,90_60,122,1392,0.33836206896551724
chair,53,shuffled_ids,E_shape_ridge,95_70,648,2406,0.10972568578553615
chair,53,shuffled_ids,E_shape_ridge,90_60,1109,4486,0.11413285777975925
chair,53,shuffled_ids,E_shape_valley,95_70,536,3474,0.36557282671272306
chair,53,shuffled_ids,E_shape_valley,90_60,951,6023,0.3579611489291051
chair,53,tau90_32,E_occ,95_70,461,12662,0.7547780761333123
chair,53,tau90_32,E_occ,90_60,469,20550,0.851727493917275
chair,53,tau90_32,E_layer,95_70,53,679,0.5228276877761414
chair,53,tau90_32,E_layer,90_60,72,1001,0.5214785214785215
chair,53,tau90_32,E_shape_ridge,95_70,253,10297,0.833155287947946
chair,53,tau90_32,E_shape_ridge,90_60,344,16104,0.8263785394932935
chair,53,tau90_32,E_shape_valley,95_70,94,13730,0.9814275309541151
chair,53,tau90_32,E_shape_valley,90_60,157,21547,0.9653780108599805
chair,53,tau90_64,E_occ,95_70,427,13599,0.800352967129936
chair,53,tau90_64,E_occ,90_60,367,21768,0.8877710400588019
chair,53,tau90_64,E_layer,95_70,88,968,0.42458677685950413
chair,53,tau90_64,E_layer,90_60,105,1644,0.5261557177615572
chair,53,tau90_64,E_shape_ridge,95_70,258,10701,0.8515092047472199
chair,53,tau90_64,E_shape_ridge,90_60,376,16444,0.8448066163950377
chair,53,tau90_64,E_shape_valley,95_70,84,13935,0.9750986724076067
chair,53,tau90_64,E_shape_valley,90_60,153,22362,0.9744208925856364
chair,53,tau95_128,E_occ,95_70,402,13696,0.8087762850467289
chair,53,tau95_128,E_occ,90_60,337,22471,0.8998264429709403
chair,53,tau95_128,E_layer,95_70,94,1116,0.40770609318996415
chair,53,tau95_128,E_layer,90_60,135,1928,0.5663900414937759
